rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
148,22,Patryk Klimala,Sydney FC,Center Forward,19,87.6,44.7,88.1,36.4,25.3,27.0,45.7
148,28,Sasha Kuzevski,Central Coast,Full Back,3,90.5,44.7,51.9,59.0,30.3,20.9,54.5
150,29,Dane James Ingham,Newcastle Jets,Full Back,6,92.8,44.5,60.1,38.0,62.0,31.7,27.7
151,30,Corey Brown,Brisbane Roar,Full Back,3,93.0,44.4,19.0,38.4,19.4,69.1,86.6
152,36,Alex Rufer,Wellington,Midfield,17,93.8,44.2,41.9,25.8,57.4,56.2,26.0
153,31,Corban Piper,Wellington,Full Back,6,90.2,44.1,71.3,51.2,31.8,20.4,34.2
154,23,Florin Bérenguer,Brisbane Roar,Center Forward,6,70.3,44.0,17.0,29.3,69.2,75.9,33.3
155,24,Bruno Fornaroli Mezza,Melbourne Victory,Center Forward,9,80.6,43.8,28.4,26.6,74.4,39.2,54.8
156,32,Logan Rogerson,Auckland,Wide Attacker,22,81.7,43.7,52.7,76.0,29.0,34.4,36.7
157,37,Jay Barnett,Adelaide United,Midfield,19,91.7,43.4,52.6,61.1,56.0,28.1,19.1
158,32,Sam Sutton,Wellington,Full Back,18,93.4,43.2,58.2,34.3,38.0,35.7,47.4
159,25,Patrick Wood,Perth Glory,Center Forward,5,74.2,43.1,46.6,38.0,43.8,61.9,28.5
159,33,Zachary de Jesus,Sydney FC,Full Back,7,81.8,43.1,53.8,55.7,39.4,26.5,32.3
159,25,Jaylan Pearman,Perth Glory,Center Forward,8,85.3,43.1,14.0,53.5,51.6,88.6,14.4
162,33,Zach Clough,Adelaide United,Wide Attacker,19,84.0,42.7,27.1,48.0,50.3,63.4,33.5
163,34,Ben Warland,Brisbane Roar,Central Defender,7,99.0,42.5,19.3,68.4,17.2,72.0,56.6
163,34,Douglas  Costa de Souza,Sydney FC,Wide Attacker,4,94.9,42.5,18.5,31.8,85.7,83.7,15.5
165,38,Isaías Sánchez Cortés,Adelaide United,Midfield,4,97.6,42.3,70.1,62.7,33.3,45.0,14.9
166,34,Hiroki Sakai,Auckland,Full Back,21,98.0,42.1,53.8,24.4,57.1,44.8,32.5
167,35,Dino Arslanagić,Macarthur,Central Defender,8,96.5,41.4,11.0,17.6,72.8,41.8,64.5
168,35,Joshua Rawlins,Melbourne Victory,Full Back,12,99.7,41.3,45.2,37.0,54.9,50.5,19.1
169,39,Taras  Gomulka,Perth Glory,Midfield,16,97.9,41.2,41.7,66.4,23.4,37.9,49.6
170,35,Luke Brooke-Smith,Wellington,Wide Attacker,3,67.2,40.9,71.8,68.9,22.6,6.1,40.3
171,27,Luka Jovanovic,Adelaide United,Center Forward,7,69.6,40.5,39.9,39.6,42.5,35.9,44.2
